roomA,1508109977.66,400
150.810996627,1008.4831543,38.0911750793,30.6351299286
150.810996627,1008.4831543,38.0911750793,30.6351299286
150.810996627,1008.4831543,38.0911750793,30.6351299286
150.810996627,1008.4831543,38.0911750793,30.6351299286
150.810996628,1008.4831543,38.0911750793,30.6351299286
150.810996628,1008.4831543,38.0911750793,30.6351299286
150.810996628,1008.4831543,38.0911750793,30.6351299286
150.810996628,1008.4831543,38.0911750793,30.6351299286
150.810996628,1008.4831543,38.0911750793,30.6351299286
150.810996629,1008.4831543,38.0911750793,30.6351299286
150.810996629,1008.4831543,38.0911750793,30.6351299286
150.810996629,1008.4831543,38.0911750793,30.6351299286
150.810996629,1008.4831543,38.0911750793,30.6351299286
150.81099663,1008.4831543,38.0911750793,30.5638885498
150.81099663,1008.4831543,39.8552818298,30.5638885498
150.81099663,1008.4831543,39.8552818298,30.5638885498
150.81099663,1008.47875977,39.8552818298,30.5638885498
150.810996631,1008.47875977,39.8552818298,30.5638885498
150.810996631,1008.47875977,39.8552818298,30.5638885498
150.810996631,1008.47875977,39.8552818298,30.5638885498
150.810996632,1008.47875977,39.8552818298,30.5638885498
150.810996632,1008.47875977,39.8552818298,30.5638885498
150.810996632,1008.47875977,39.8552818298,30.5638885498
150.810996632,1008.47875977,39.8552818298,30.5638885498
150.810996632,1008.47875977,39.8552818298,30.5638885498
150.810996633,1008.47875977,39.8552818298,30.5638885498
150.810996633,1008.47875977,39.8552818298,30.5638885498
150.810996633,1008.47875977,39.8552818298,30.5638885498
150.810996633,1008.47875977,39.8552818298,30.5638885498
150.810996634,1008.47875977,39.8552818298,30.5638885498
150.810996634,1008.47875977,39.8552818298,30.5638885498
150.810996634,1008.47875977,39.8552818298,30.5638885498
150.810996634,1008.47875977,39.8552818298,30.5638885498
150.810996634,1008.47875977,39.8552818298,30.5638885498
150.810996635,1008.47485352,39.8552818298,30.5638885498
150.810996635,1008.47485352,39.8552818298,30.5638885498
150.810996635,1008.47485352,39.8552818298,30.5638885498
150.810996635,1008.47485352,39.8552818298,30.5638885498
150.810996636,1008.47485352,39.8552818298,30.5638885498
150.810996636,1008.47485352,39.8552818298,30.5638885498
150.810996636,1008.47485352,39.8552818298,30.5638885498
150.810996636,1008.47485352,39.8552818298,30.5638885498
150.810996637,1008.47485352,39.8552818298,30.5638885498
150.810996637,1008.47485352,39.8552818298,30.5638885498
150.810996637,1008.47485352,39.8552818298,30.5638885498
150.810996637,1008.47485352,39.8552818298,30.5638885498
150.810996637,1008.47485352,39.8552818298,30.5816993713
150.810996638,1008.47485352,39.3521842957,30.5816993713
150.810996638,1008.47485352,39.3521842957,30.5816993713
150.810996638,1008.47485352,39.3521842957,30.5816993713
150.810996639,1008.47485352,39.3521842957,30.5816993713
150.810996639,1008.47338867,39.3521842957,30.5816993713
150.810996639,1008.47338867,39.3521842957,30.5816993713
150.810996639,1008.47338867,39.3521842957,30.5816993713
150.81099664,1008.47338867,39.3521842957,30.5816993713
150.81099664,1008.47338867,39.3521842957,30.5816993713
150.81099664,1008.47338867,39.3521842957,30.5816993713
150.81099664,1008.47338867,39.3521842957,30.5816993713
150.81099664,1008.47338867,39.3521842957,30.5816993713
150.810996641,1008.47338867,39.3521842957,30.5816993713
150.810996641,1008.47338867,39.3521842957,30.5816993713
150.810996641,1008.47338867,39.3521842957,30.5816993713
150.810996641,1008.47338867,39.3521842957,30.5816993713
150.810996642,1008.47338867,39.3521842957,30.5816993713
150.810996642,1008.47338867,39.3521842957,30.5816993713
150.810996642,1008.47338867,39.3521842957,30.5816993713
150.810996642,1008.47338867,39.3521842957,30.5816993713
