roomA,1508110940.09,800
150.811092742,1008.47900391,39.0222320557,30.7063713074
150.811092742,1008.47900391,39.0222320557,30.7063713074
150.811092743,1008.47900391,39.0222320557,30.7063713074
150.811092743,1008.47900391,39.0222320557,30.7063713074
150.811092743,1008.47900391,39.0222320557,30.7063713074
150.811092743,1008.47900391,39.0222320557,30.7063713074
150.811092744,1008.47900391,39.0222320557,30.7063713074
150.811092744,1008.47900391,39.0222320557,30.7063713074
150.811092744,1008.47900391,39.0222320557,30.7063713074
150.811092744,1008.47900391,39.0222320557,30.7063713074
150.811092744,1008.47851562,39.0222320557,30.7063713074
150.811092745,1008.47851562,39.0222320557,30.6707515717
150.811092745,1008.47851562,39.0222320557,30.6707515717
150.811092745,1008.47851562,39.7899475098,30.6707515717
150.811092746,1008.47851562,39.7899475098,30.6707515717
150.811092746,1008.47851562,39.7899475098,30.6707515717
150.811092746,1008.47851562,39.7899475098,30.6707515717
150.811092746,1008.47851562,39.7899475098,30.6707515717
150.811092747,1008.47851562,39.7899475098,30.6707515717
150.811092747,1008.47851562,39.7899475098,30.6707515717
150.811092747,1008.47851562,39.7899475098,30.6707515717
150.811092747,1008.47851562,39.7899475098,30.6707515717
150.811092747,1008.47851562,39.7899475098,30.6707515717
150.811092748,1008.47851562,39.7899475098,30.6707515717
150.811092748,1008.47851562,39.7899475098,30.6707515717
150.811092748,1008.47851562,39.7899475098,30.6707515717
150.811092748,1008.47851562,39.7899475098,30.6707515717
150.811092749,1008.47119141,39.7899475098,30.6707515717
150.811092749,1008.47119141,39.7899475098,30.6707515717
150.811092749,1008.47119141,39.7899475098,30.6707515717
150.811092749,1008.47119141,39.7899475098,30.6707515717
150.81109275,1008.47119141,39.7899475098,30.6707515717
150.81109275,1008.47119141,39.7899475098,30.6707515717
150.81109275,1008.47119141,39.7899475098,30.6707515717
150.81109275,1008.47119141,39.7899475098,30.6707515717
150.811092751,1008.47119141,39.7899475098,30.6707515717
150.811092751,1008.47119141,39.7899475098,30.6707515717
150.811092751,1008.47119141,39.7899475098,30.6707515717
150.811092751,1008.47119141,39.7899475098,30.6707515717
150.811092751,1008.47119141,39.7899475098,30.6707515717
150.811092752,1008.47119141,39.7899475098,30.6707515717
150.811092752,1008.47119141,39.7899475098,30.6707515717
150.811092752,1008.47119141,39.7899475098,30.6707515717
150.811092752,1008.47119141,39.7899475098,30.6707515717
150.811092753,1008.46875,39.7899475098,30.5638885498
150.811092753,1008.46875,39.7899475098,30.5638885498
150.811092753,1008.46875,40.4661865234,30.5638885498
150.811092754,1008.46875,40.4661865234,30.5638885498
150.811092754,1008.46875,40.4661865234,30.5638885498
150.811092754,1008.46875,40.4661865234,30.5638885498
150.811092754,1008.46875,40.4661865234,30.5638885498
150.811092754,1008.46875,40.4661865234,30.5638885498
150.811092755,1008.46875,40.4661865234,30.5638885498
150.811092755,1008.46875,40.4661865234,30.5638885498
150.811092755,1008.46875,40.4661865234,30.5638885498
150.811092755,1008.46875,40.4661865234,30.5638885498
150.811092756,1008.46875,40.4661865234,30.5638885498
150.811092756,1008.46875,40.4661865234,30.5638885498
150.811092756,1008.46875,40.4661865234,30.5638885498
150.811092756,1008.46875,40.4661865234,30.5638885498
150.811092756,1008.46875,40.4661865234,30.5638885498
150.811092757,1008.47314453,40.4661865234,30.5638885498
150.811092757,1008.47314453,40.4661865234,30.5638885498
150.811092757,1008.47314453,40.4661865234,30.5638885498
